Ticker,Group,Target,MAE_Baseline,MAE_Augmented,MAE_Improvement,MAE_Improvement_Pct,RMSE_Baseline,RMSE_Augmented,DA_Baseline,DA_Augmented,DM_Statistic,DM_PValue,DM_Significant,DM_Interpretation,N_Test
BWXT,benchmark_set,Forward_Return_1d,0.026153378446089896,0.025259892813629066,0.0008934856324608297,3.416329688734389,0.03464531375712723,0.033588135791401325,45.94594594594595,43.24324324324324,1.6899371322403924,0.09103998273898406,False,No significant difference between models (p>=0.05),74
CCJ,benchmark_set,Forward_Return_1d,0.027741210224355196,0.028310141347053914,-0.0005689311226987175,-2.050851848558606,0.035089095268321324,0.03586547940011777,40.54054054054054,44.5945945945946,-1.1328422438930164,0.2572805078363918,False,No significant difference between models (p>=0.05),74
CEG,benchmark_set,Forward_Return_1d,0.02482908748226412,0.024372479624373316,0.00045660785789080477,1.8390037822250547,0.03378100439773157,0.0331934602025224,43.24324324324324,54.054054054054056,1.3424492935856955,0.17945036091985012,False,No significant difference between models (p>=0.05),74
LAC,core_set,Forward_Return_1d,0.03564172797825221,0.03539788781891747,0.00024384015933474196,0.684142361121009,0.04522772373610767,0.04501955704126646,47.2972972972973,51.35135135135135,0.15691902677223293,0.8753086644295898,False,No significant difference between models (p>=0.05),74
LEU,core_set,Forward_Return_1d,0.052334823592346126,0.0571117223841471,-0.004776898791800974,-9.12757216688046,0.06592978105855457,0.0709063136504454,47.2972972972973,48.64864864864865,-5.1783529265384285,2.238534475562659e-07,True,Baseline model significantly outperforms augmented (p<0.05),74
LTBR,core_set,Forward_Return_1d,0.048808183660107154,0.048445250276327005,0.00036293338378014933,0.7435912516383785,0.05976393314035368,0.060931914295776886,44.5945945945946,44.5945945945946,-0.7506181987571733,0.45288246550571465,False,No significant difference between models (p>=0.05),74
NNE,core_set,Forward_Return_1d,0.044700667165217985,0.043849106632356735,0.0008515605328612494,1.9050286871867024,0.05302653445753063,0.052346890104685045,40.27777777777778,48.61111111111111,1.1159440023202762,0.26444610506411914,False,No significant difference between models (p>=0.05),72
NXE,core_set,Forward_Return_1d,0.027473323030788543,0.028306094220587486,-0.0008327711897989434,-3.0311993524251917,0.03548670860635563,0.03633678691845247,40.54054054054054,44.5945945945946,-1.4722248627076167,0.14096016558797664,False,No significant difference between models (p>=0.05),74
SMR,core_set,Forward_Return_1d,0.046417838044797016,0.04564345612346355,0.0007743819213334655,1.6682851980010862,0.058746826154891116,0.057511448687776724,50.0,48.64864864864865,2.1003865818810774,0.03569484840382442,True,Augmented model significantly outperforms baseline (p<0.05),74
